Name of kdrama,Year of relase,Watchtime,Movie Rating,Genre,Votes
The 1st Shop of Coffee Prince,2007,55,8.2,"Comedy, Drama, Romance            ",5496
Dragon Age: Absolution,2022,,,"Animation, Action, Adventure            ",
Memorist,2020,60,7.7,"Fantasy, Mystery, Thriller            ",927
Man to Man,2017,80,7.4,"Action, Drama, Thriller            ",1332
Aelliseu,2020,70,7.1,"Drama, Fantasy, Mystery            ",1125
"Now, We Are Breaking Up",2021,60,6.3,"Drama, Romance            ",1332
Tempted,2018,32,7.1,"Drama, Mystery, Romance            ",1826
Tell Me What You Saw,2020,60,7.7,"Mystery, Thriller            ",736
The Ghost Detective,2018,35,6.9,"Fantasy, Mystery            ",169
Shopping King Louie,2016,,7.5,"Comedy, Romance            ",1274
Nothing to Lose,2017,35,6.7,"Drama, Romance            ",124
Mischievous Kiss,2010,66,7.1,"Comedy, Romance            ",3556
Strongest Deliveryman,2017,,7.3,"Drama, Romance            ",694
River Where the Moon Rises,2021,60,7.6,"History, Romance            ",433
Higglytown Heroes,2004,30,4.9,"Animation, Family            ",563
"Bring It On, Ghost",2016,60,7.6,"Comedy, Fantasy, Horror            ",2599
Doctor Prisoner,2019,35,7.6,"Drama, Mystery, Thriller            ",761
Who Are You: School 2015,2015,,7.7,"Drama, Mystery, Romance            ",2063
"Father, I'll Take Care of You",2016,,8.1,"Drama, Romance            ",48
Rugal,2020,60,6.3,"Action, Crime, Sci-Fi            ",974
The Veil,2021,,7.5,"Action, Crime, Drama            ",776
Syucheu,2018,60,7.4,"Crime, Drama, Thriller            ",685
Bloody Heart,2022,,7.2,"Drama, Romance            ",220
The Cursed,2020,60,7.1,"Drama, Fantasy, Mystery            ",486
Yungnyong-i Nareusya,2015,,8.9,"Action, Drama, History            ",977
Personal Taste,2010,60,7.4,"Comedy, Drama, Romance            ",4326
Full House,2004,60,7.9,"Comedy, Romance            ",3428
Defendant,2017,70,8.2,"Crime, Drama, Mystery            ",1521
Dakteoseu,2016,60,7.7,"Comedy, Drama, Romance            ",2547
Jirisan,2021,,7.4,"Action, Drama, Mystery            ",951
"It's Okay, That's Love",2014,60,8.3,"Comedy, Drama, Romance            ",3986
When My Love Blooms,2020,60,7.5,"Drama, Romance            ",370
Doctor Stranger,2014,60,7.5,"Action, Drama, Romance            ",2781
Goedam,2020,10,5.7,"Short, Horror, Mystery            ",977
Bee & Puppycat: Lazy in Space,2013,,8.7,Animation            ,73
Good Manager,2017,60,7.9,"Comedy, Drama            ",1053
"From Now On, Showtime!",2022,,7.4,"Comedy, Fantasy, Romance            ",320
Misaeng,2014,60,8.5,Drama            ,2026
Find Me in Your Memory,2020,35,7.4,"Fantasy, Mystery, Romance            ",830
Hello Monster,2015,,7.7,"Action, Crime, Mystery            ",14814
Yeopgijeogin Geunyeo,2017,,6.8,"Comedy, Romance            ",632
Imitation,2021,70,7.5,"Comedy, Music, Romance            ",692
Kairos,2020,70,8,"Fantasy, Mystery, Thriller            ",621
Stitch!,2008,,4.3,"Animation, Comedy, Family            ",290
Still 17,2018,35,7.9,"Comedy, Romance            ",1921
Pucca,2006,6,6.8,"Animation, Action, Comedy            ",4521
You Are Beautiful,2009,60,7.7,"Comedy, Drama, Music            ",4734
Adult Trainee,2021,,6.9,"Comedy, Romance            ",231
Another Miss Oh,2016,70,7.8,"Comedy, Fantasy, Romance            ",1906
Knowing Bros,2015,100,8.3,"Comedy, Game-Show, Reality-TV            ",448
About Time,2018,70,6.9,Fantasy            ,607
Ghostforce,2021,22,6.1,"Animation, Action, Adventure            ",98
Zombie Detective,2020,30,7.4,"Comedy, Fantasy, Mystery            ",801
My Secret Terrius,2018,35,7.6,"Comedy, Drama, Romance            ",1270
Love,2021,70,6.7,"Drama, Romance            ",476
You Are My Spring,2021,70,7.4,"Drama, Romance, Thriller            ",623
Shinui,2012,60,8,"Drama, Fantasy, History            ",2630
Live,2018,60,8.3,"Comedy, Crime, Drama            ",1302
Sheriff Callie's Wild West,2013,25,6.2,"Animation, Action, Adventure            ",686
Chief of Staff,2019,60,7.9,Drama            ,568
Ultimate Beastmaster,2017,55,7.2,"Game-Show, Reality-TV            ",2451
Chocolate,2019,70,7.6,"Drama, Romance            ",1233
Live On,2020,60,7.4,"Drama, Romance            ",320
Father Is Strange,2017,66,8.2,"Comedy, Drama, Family            ",548
In the SOOP BTS Ver.,2020,,9.5,Reality-TV            ,1074
Racket Boys,2021,80,4,"Comedy, Drama, Sport            ",27592
More Than Friends,2020,70,6.7,"Drama, Romance            ",433
To the Beautiful You,2012,64,7.2,"Comedy, Romance            ",1944
Undercover,2021,70,7.6,"Drama, Thriller            ",190
High Society,2015,60,6.8,"Drama, Romance            ",493
A Piece of Your Mind,2020,70,7.3,"Comedy, Romance            ",743
Hotel King,2014,65,7,"Drama, Romance            ",417
Summer Love,2015,5,7.6,"Comedy, Romance            ",95
Train,2020,60,8,"Fantasy, Mystery, Sci-Fi            ",839
Naesungjukin Boseu,2017,70,7.1,"Comedy, Drama, Romance            ",1677
Sketch,2018,80,7.6,"Action, Drama, Fantasy            ",167
Mad Dog,2017,60,7.7,"Crime, Drama, Thriller            ",714
I Live Alone,2013,,8.6,"Comedy, Reality-TV            ",52
"Hello, Me!",2021,65,7.3,"Comedy, Drama, Fantasy            ",604
Nobody Knows,2020,70,8.1,"Crime, Drama, Mystery            ",302
The Emperor: Owner of the Mask,2017,,7.4,"Drama, History, Romance            ",628
Potato Star 2013QR3,2013,,8.1,"Comedy, Drama, Fantasy            ",78
Guga-ui Seo,2013,,8,"Action, Comedy, Fantasy            ",1761
The Scholar Who Walks the Night,2015,,7.3,"Action, Fantasy, History            ",938
Awaken,2020,65,7.5,"Crime, Drama, Fantasy            ",533
Tomorrow with You,2017,60,7.4,"Drama, Fantasy, Romance            ",1103
Color Rush,2020,15,7,"Drama, Romance            ",1002
School 2021,2021,63,7.4,"Romance, Comedy            ",268
Sungkyunkwan Scandal,2010,70,7.8,"Comedy, Drama, History            ",1602
Kill It,2019,60,7.7,"Drama, Mystery, Thriller            ",869
Where Stars Land,2018,35,7.1,"Drama, Romance            ",929
Yong Pal,2015,60,7.5,"Drama, Romance            ",847
Was It Love,2020,70,7.1,"Comedy, Drama, Romance            ",914
Private Lives,2020,70,6.6,"Crime, Drama, Romance            ",629
365: Repeat the Year,2020,30,8,"Crime, Drama, Fantasy            ",660
Love in Sadness,2019,,8,Drama            ,73
Leverage,2019,60,7.6,"Action, Comedy, Crime            ",125
The School Nurse Files,2020,51,6.4,"Comedy, Drama, Fantasy            ",1225
My Girlfriend Is a Gumiho,2010,60,7.7,"Comedy, Fantasy, Romance            ",3107
Rookie Cops,2022,54,7.4,"Drama, Romance            ",548
The Best Hit,2017,30,7.6,"Comedy, Fantasy            ",753
The Lady in Dignity,2017,60,7.5,"Drama, Mystery, Romance            ",238
My Only Love Song,2017,30,7,"Comedy, Fantasy, Romance            ",682
Criminal Minds,2017,60,6.3,"Action, Crime, Thriller            ",426
BTS: Bon Voyage,2016,,9.6,Reality-TV            ,1151
"When Flowers Bloom, I Think of the Moon",2021,,7.4,"Action, Comedy, Drama            ",219
Chicago Typewriter,2017,70,8.3,"Drama, Fantasy, Romance            ",1778
Glitch,2022,60,,"Comedy, Mystery, Sci-Fi            ",
VIP,2019,35,7.6,"Drama, Mystery, Romance            ",355
Special Agent Oso,2009,23,5.3,"Animation, Action, Adventure            ",638
Once Again,2020,35,8.3,"Comedy, Drama, Romance            ",328
Birth of a Beauty,2014,60,7,"Comedy, Romance            ",947
Squad 38,2016,60,7.7,"Comedy, Crime, Drama            ",430
Bing-ui,2019,,6.7,"Comedy, Crime, Drama            ",807
Melancholia,2021,,7.3,"Drama, Romance            ",411
Wok of Love,2018,35,7.5,"Comedy, Romance            ",946
Rich Family's Son,2018,,7.9,"Drama, Romance            ",36
Seven Day Queen,2017,,7.7,"Drama, Romance            ",541
