Name of kdrama,Year of relase,Watchtime,Movie Rating,Genre,Votes
My Dear Cat,2014,,6.6,"Comedy, Drama, Family        ",12
Hateful But Once Again,2009,,7.5,"Drama, Romance   ",6
Haet-bit Sok-eu-ro,1999,,6.2,"Drama, Romance  ",7
Woomanna,2017,,,Drama         ,
Dad! Where Are You Going?,2013,,7.5,Reality-TV          ,7
Match Made in Heaven,2004,,,"Comedy, Drama, Romance  ",
Tengoku no ki,2006,606,6.3,Drama      ,6
Sisters Over Flowers,2013,,7.8,Reality-TV   ,9
See and See Again,1998,,,Drama       ,
NCT Life: DREAM in Wonderland,2020,,8.2,Reality-TV      ,5
NCT Life in Osaka,2017,,8.4,Reality-TV       ,11
88 Street,2016,,,Drama       ,
Prince's Prince,2015,10,6.4,"Comedy, Drama    ",17
Yeonnam-dong 539,2018,,,"Comedy, Drama     ",
Kangjeokdeul,2013,,,Talk-Show    ,
Half-Moon Friends,2016,,,Reality-TV        ,
Yojeumaedeul,2018,,,Reality-TV        ,
Tank Knight Fortress,2003,,,"Animation, Action, Adventure     ",
Scent of a Man,2003,55,,"Action, Drama, Romance        ",
Infinite Power,2013,16,,Drama      ,
Kim Yuna's Kiss and Cry,2011,,,Reality-TV    ,
Street Fighter,1992,,,"Action, Family, Fantasy       ",
Swamp Ecology Report,2012,67,,,
Let's Go! MBA,2009,11,,Animation         ,
Her Style,2009,,,Drama        ,
Annyeonghaseyo haneunim!,2006,60,7.1,Drama         ,13
No_Return,2016,90,,"Action, Adventure, Crime       ",
Joankeem,2016,5,,,
Start Love,2015,10,5.8,"Comedy, Romance   ",6
Only My Love,2014,,,"Drama, Romance",
I'm the Singer,2011,90,,"Game-Show, Music, Reality-TV   ",
Equalizer,2015,5,,Comedy      ,
The Sound of Your Heart Webtoon,2021,,,Comedy      ,
Love Is Over,2006,,,Drama        ,
JG ASMR,2019,,,Documentary       ,
Jeiseunui Hanyeongsajeon,2019,100,,Talk-Show    ,
Beloved,2012,60,,Romance   ,
NCT Life: Hot & Young Seoul Trip,2018,,9.2,Reality-TV      ,6
Love and Ambition (Sarang gwa Yamang),1987,45,,"Drama, Romance, War      ",
Goseuteu,1999,50,5.2,"Crime, Drama, Horror       ",14
Showtime,2013,,8.3,Reality-TV       ,11
SS501 M!pick,2005,,,Reality-TV     ,
End of Love,2006,,,Drama      ,
Stranger,2013,135,,Romance          ,
The Best Future,2014,,5.8,Drama      ,5
Why Did You Come to My House?,2008,,,Comedy      ,
Juni's New York Diary,2010,13,,Reality-TV   ,
Backflow,2017,,,Drama      ,
Lotte Haus,2019,55,,Drama         ,
Human Theatre,2010,50,,"Comedy, Drama, Reality-TV   ",
MTV Wonder Girls,2006,,,Reality-TV       ,
Alice's Wondergarden 2,2010,,,Family        ,
Pororo the Little Penguin,2014,,,Family     ,
Uniminipet,2001,,8,Animation        ,7
ATM,2015,3,,Thriller       ,
Ujeongjeuui inssatueo: Like It,2020,120,,Reality-TV       ,
The Adventure Kids,2014,,,Animation  ,
Check This Out,2021,22,,Reality-TV     ,
Rol deo nekseuteu,2020,,,Reality-TV     ,
YoungJay,2019,,,Documentary     ,
The Clubhouse,2022,,,"Documentary, Short, Sport       ",
Walking up to heaven,1993,,,"Action, Drama, Romance      ",
The Great Challenge,2015,,7.7,Reality-TV     ,20
"Woman of Matchless Beauty, Park Jung Kum",2008,,6.8,Romance    ,9
Twice Japan,2017,,,,
Boolkkotnoli,2006,60,7.2,"Comedy, Romance     ",40
Strangers 6,2012,,3.1,Drama        ,14
Keuhaetsali naege,2002,60,,Romance       ,
Romantic Comedy Drama Specials Part 1,2012,65,,,
My Little Kitchen,2015,8,,,
I Believed in Men,2011,40,,"Drama, Romance     ",
Todo sobre corea del sur,2016,10,,,
2016 DMC Festival,2016,75,,,
Soya,2016,3,,,
Mom's Dead Upset,2008,,,Drama      ,
Soma,1996,,,"Animation, Fantasy    ",
How are you.MOV,2018,240,,Talk-Show      ,
Hanbamui regeyeonye,2017,320,,Talk-Show   ,
Twelve Men in a Year,2012,,7.3,"Drama, Romance ",24
EBSe English News,2016,20,,News      ,
Family Outing,2010,70,,"Comedy, Game-Show, Reality-TV   ",
Girls' Generation Star Life Theater,2011,,,Reality-TV       ,
Bike Family,2015,,,Family      ,
Jang-mit-bit In-saeng,2005,,8.3,Drama    ,11
Heaven's Fate,2004,,,"Drama, Romance",
Moon Hee,2007,60,,Drama       ,
Juliet's Man,2000,,,"Drama, Romance     ",
Power Panda Posse,,,,Animation         ,
Next,2005,60,,History         ,
NCT Life in Chiang Mai,2017,,8.1,Reality-TV     ,8
Robocar POLI SongSong Museum,2020,,,Animation  ,
"Victory, Bong Soon-young",2004,,,Romance           ,
Spin Doctors,2013,,,,
Space Hip Hop Duck,2002,,,Animation      ,
Dangsinyeopi joha,2002,,,Drama         ,
Once Upon a Time in Saengchori,2010,,8,Comedy      ,13
Come Back Sunae,2006,,,Drama      ,
Journey to Seoul,,,,Drama   ,
Love in Memory,2013,15,,Romance      ,
Idol Party,2016,80,,Talk-Show     ,
The End of the World,2013,,6.4,,8
Double Trouble En Corea,2016,12,,,
101st Proposal,2006,,,Romance        ,
Intelekt-shou LG Evryka!,2001,45,,"Game-Show, Sport   ",
T-ara & Yoon Shi Yoon Bubi Bubi,2010,5,,"Comedy, Drama, Music     ",
What AM I made of?,,,,"Documentary, Biography  ",
Gaon Chart Music Awards,2012,,,Music         ,
Pianissimo,2010,20,,Drama         ,
MV banco stardust,2015,54,,,
Splendor of Youth,2009,50,,"Drama, Family, Romance      ",
Crime and Film Noir Drama Specials,2013,80,,,
I'll Give You the Stars and the Moon,2012,35,7.3,"Drama, Romance   ",6
Bapmokja and Haeppy,2016,15,,,
Magic Bottle,2015,8,,"Comedy, Fantasy, Romance      ",
Special Investigation Team,2008,65,,Action        ,
Drawing Hands,2016,3,,,
Ssong yang,2016,6,,,
Seumusareun Cheoeumira,2018,120,,Reality-TV     ,
A Style for You,2015,52,7.1,Reality-TV       ,7
Charlie Gribble,2011,,,Animation      ,
Barefoot Friends,2013,80,6.6,Reality-TV           ,26
KARA stargraphy,2012,45,,,
ROSÉ Official,2021,,,Music    ,
Restol: The Special Rescue Squad,1999,,,Animation       ,
Soul Frame Lazenca: Revival of a Myth,1997,,,Animation        ,
Tass,2013,,,Animation     ,
Inspire Now,2011,,,,
Salang-e Daehayeo,2015,,,Drama        ,
A Happy Woman,2007,60,,"Drama, Romance     ",
Cheongchun,1999,50,7.2,Drama      ,16
Incarnation: One That Rules the Heart,2013,,,Talk-Show    ,
My Little Fox,2003,,,Animation      ,
Elephant,2008,,,"Comedy, Drama, Family       ",
Play Guide,2013,11,,"Comedy, Romance        ",
Mapo Hipster,2020,,,Game-Show    ,
DIA TV Original: SSIN's challenge,2016,10,,,
UV Eolmakkaji Bogo Osyeosseoyo?,2018,60,,Reality-TV     ,
2NE1,2010,,,Music        ,
JYP Entertainment,2008,,,Music        ,
Lena's Pocket Beauty,2016,7,,,
Secret of Supremacy,2015,,,,
The Scoop,2016,6,,,
L.U.V. Collage,2015,12,,Romance      ,
Big Heat,2011,50,,Music     ,
Style Log,2013,,,Talk-Show   ,
On the Spot: Children of the Enemy,2017,52,,Documentary      ,
NCT Life: Korean Cuisines Challenge,2016,,8.8,Reality-TV        ,6
A Taste of Asia,2000,,,,
Arim Inn the Forest,2018,13,,Romance,
Sam Sound,2020,,,Documentary   ,
Julmeunihee yangji,1995,,,Drama     ,
The Island of Sea Women,,,,Drama      ,
Big- Room,2018,43,,Comedy        ,
DIA TV Original: Living Together Agreement,2016,10,,,
Daily Home Training,2018,,,"Short, Sport    ",
DIA TV Original: Chef Chae's Kitchen,2016,12,,,
Seuteuliteu paiteo Q pan,1993,,,Action        ,
Angmaneun Ranjerireul Imneunda,2019,32,,Comedy      ,
Coby Can,2008,,,Family         ,
When Women Powder Twice,2011,35,,"Drama, Romance    ",
My First Dictionary,2013,,,Family        ,
Hwan-sang-gi-dam,2008,,,"Fantasy, Mystery  ",
Viki ID,2017,5,,,
Definitely Neighbors,2010,60,,"Drama, Romance  ",
Here We Go World Challenge,2013,55,,,
Ted & Dory Detectives,2012,,,Animation      ,
Shinee's Yunhanam,2008,,7.9,Reality-TV       ,16
Sweet the mi,2016,8,,,
Cheotnune,2016,7,,Drama       ,
Watashi no kokoro wa hana no ame,2016,,,Drama       ,
Green Saver,2009,,,Animation   ,
Winter Bird,2007,62,,Romance      ,
Thorns and honey,2017,,,Drama          ,
Situation Conte Bang Bang,2004,,,Comedy      ,
AFC Champions League 2016,2016,,,Sport            ,
Hello! Yoga Kids!,2011,,,Family       ,
DIA TV Original: Heizle,2016,10,,,
Calary Girl,2016,10,,,
Ivan lam,2016,7,,Reality-TV      ,
Liah Yoo,2017,13,,,
Mr. Glamour,2015,3,,Comedy       ,
Gyeongchalcheong Salamdeul 2015 MBC,2015,,,Drama        ,
Heyitsfeiii,2016,4,,,
Yeongwoong shinhwa,1997,50,,"Action, Drama    ",
Oh Nino,2019,,,,
Happy Together,2007,80,,Reality-TV         ,
Join Us Korea,2015,50,,,
Oppa Kkaoli,2016,7,,,
Le cache-cache avec la Famille Requin,2021,,,Animation         ,
Geunal Silhwa Geugjang That True Story Theater,2014,,,"Drama, History      ",
PD suchup,1990,,,News       ,
That Summer Typhoon,2005,60,,Drama         ,
Only Boy,2015,7,,Comedy   ,
Ricky kazaf,2016,6,,Reality-TV     ,
Cheri Hyeri,2016,5,,,
Korea Today,2012,,,News      ,
IrieGenie,2020,,,Fantasy   ,
Showbiz Korea,2002,25,,,
Jug Ssuneun Yeoja Jugji Anhneun Namja,2012,,,Reality-TV    ,
2016 Busan One Asia Festival,2016,90,,,
RiaRua,2016,6,,,
Kokekkou-san,2009,,,"Animation, Family     ",
Paereodiui jewang,2018,80,,Comedy     ,
Geu-ri-seu ro-ma sin-hwa - ol-lim-po-seu ga-di-eon - gi-gan-te-seu dae-yeok-seub,2002,,,"Animation, Fantasy      ",
Yooncharmi,2016,8,,,
Prosecutor Mata Hari,2010,,,,
Jangdoyeonui Tarobyu,2019,60,,Talk-Show    ,
Star Academy,2009,,,Reality-TV      ,
heyitsfeiii,2014,5,,,
The Way To Sangju,2019,30,,Drama    ,
Romantic Comedy Drama Specials Part 2,2010,70,,,
Pretty 95s,2010,,,Documentary    ,
Why Couldnt You Get Married,2012,50,,Drama      ,
DIA TV Original: Cook or The Dead,2016,13,,,
Baekjoui hosu,2003,,,Comedy      ,
Close to the Flame,,,,"Action, Thriller      ",
Queen of Ahyeon,2007,30,,Drama      ,
Hybe Labels,2008,,,Music     ,
Heopop,2016,4,,,
Welcome 2 House,2021,,,,
